Category,City,Country/Region,Order Date,Year,Month,Order ID,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Profit,Quantity,Sales,Sales Forecast
Furniture,Henderson,United States,08-11-2019,2019,Nov,CA-2019-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,Consumer,11-11-2019,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0,42,2,262,392
Furniture,Henderson,United States,08-11-2019,2019,Nov,CA-2019-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,11-11-2019,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0,220,3,732,1096
Office Supplies,Los Angeles,United States,12-06-2019,2019,Jun,CA-2019-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,16-06-2019,Second Class,Shipped Late,California,Labels,4,3,0,7,2,15,22
Furniture,Fort Lauderdale,United States,11-10-2018,2018,Oct,US-2018-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,18-10-2018,Standard Class,Shipped Late,Florida,Tables,7,6,45,383,5,958,1434
Office Supplies,Fort Lauderdale,United States,11-10-2018,2018,Oct,US-2018-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,Consumer,18-10-2018,Standard Class,Shipped Late,Florida,Storage,7,6,20,3,2,22,33
Furniture,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Furnishings,5,6,0,14,7,49,73
Office Supplies,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,OFF-AR-10002833,Newell 322,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Art,5,6,0,2,4,7,11
Technology,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Phones,5,6,20,91,6,907,1359
Office Supplies,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Binders,5,6,20,6,3,19,28
Office Supplies,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Appliances,5,6,0,34,5,115,172
Furniture,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Tables,5,6,20,85,9,1706,2555
Technology,Los Angeles,United States,09-06-2017,2017,Jun,CA-2017-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,Consumer,14-06-2017,Standard Class,Shipped Early,California,Phones,5,6,20,68,4,911,1365
Office Supplies,Concord,United States,15-04-2020,2020,Apr,CA-2020-114412,28027,OFF-PA-10002365,Xerox 1967,South,Consumer,20-04-2020,Standard Class,Shipped Early,North Carolina,Paper,5,6,20,5,3,16,23
Office Supplies,Seattle,United States,05-12-2019,2019,Dec,CA-2019-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,10-12-2019,Standard Class,Shipped Early,Washington,Binders,5,6,20,133,3,408,611
Office Supplies,Fort Worth,United States,22-11-2018,2018,Nov,US-2018-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,26-11-2018,Standard Class,Shipped Early,Texas,Appliances,4,6,80,124,5,69,103
Office Supplies,Fort Worth,United States,22-11-2018,2018,Nov,US-2018-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,26-11-2018,Standard Class,Shipped Early,Texas,Binders,4,6,80,4,3,3,4
Office Supplies,Madison,United States,11-11-2017,2017,Nov,CA-2017-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,18-11-2017,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0,13,6,666,997
Office Supplies,West Jordan,United States,13-05-2017,2017,May,CA-2017-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,Consumer,15-05-2017,Second Class,Shipped Early,Utah,Storage,2,3,0,10,2,56,83
Office Supplies,San Francisco,United States,27-08-2017,2017,Aug,CA-2017-143336,94109,OFF-AR-10003056,Newell 341,West,Consumer,01-09-2017,Second Class,Shipped Late,California,Art,5,3,0,2,2,9,13
Technology,San Francisco,United States,27-08-2017,2017,Aug,CA-2017-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,Consumer,01-09-2017,Second Class,Shipped Late,California,Phones,5,3,20,16,3,213,320
Office Supplies,San Francisco,United States,27-08-2017,2017,Aug,CA-2017-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,01-09-2017,Second Class,Shipped Late,California,Binders,5,3,20,7,4,23,34
Office Supplies,Fremont,United States,09-12-2019,2019,Dec,CA-2019-137330,68025,OFF-AR-10000246,Newell 318,Central,Corporate,13-12-2019,Standard Class,Shipped Early,Nebraska,Art,4,6,0,5,7,19,29
Office Supplies,Fremont,United States,09-12-2019,2019,Dec,CA-2019-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,13-12-2019,Standard Class,Shipped Early,Nebraska,Appliances,4,6,0,16,7,60,90
Furniture,Philadelphia,United States,16-07-2020,2020,Jul,US-2020-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,Consumer,18-07-2020,Second Class,Shipped Early,Pennsylvania,Chairs,2,3,30,1,2,71,107
Furniture,Orem,United States,25-09-2018,2018,Sep,CA-2018-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,30-09-2018,Standard Class,Shipped Early,Utah,Tables,5,6,0,240,3,1045,1564
Office Supplies,Los Angeles,United States,16-01-2019,2019,Jan,CA-2019-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,Consumer,20-01-2019,Second Class,Shipped Late,California,Binders,4,3,20,4,2,12,17
Technology,Los Angeles,United States,16-01-2019,2019,Jan,CA-2019-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,20-01-2019,Second Class,Shipped Late,California,Accessories,4,3,0,12,3,91,136
Furniture,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Bookcases,4,6,50,1665,7,3083,4618
Office Supplies,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,70,7,2,10,14
Furniture,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,20,16,3,124,186
Office Supplies,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,20,1,2,3,5
Office Supplies,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Art,4,6,20,10,6,86,129
Office Supplies,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,70,6,6,7,10
Office Supplies,Philadelphia,United States,17-09-2018,2018,Sep,US-2018-150630,19140,OFF-AR-10001683,Lumber Crayons,East,Consumer,21-09-2018,Standard Class,Shipped Early,Pennsylvania,Art,4,6,20,4,2,16,24
Office Supplies,Houston,United States,19-10-2020,2020,Oct,CA-2020-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,Home Office,23-10-2020,Second Class,Shipped Late,Texas,Paper,4,3,20,10,3,29,44
Technology,Richardson,United States,08-12-2019,2019,Dec,CA-2019-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,Corporate,10-12-2019,First Class,Shipped Late,Texas,Phones,2,1,20,123,7,1098,1644
Furniture,Richardson,United States,08-12-2019,2019,Dec,CA-2019-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,10-12-2019,First Class,Shipped Late,Texas,Furnishings,2,1,60,148,5,191,286
Office Supplies,Houston,United States,27-12-2018,2018,Dec,CA-2018-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,31-12-2018,Standard Class,Shipped Early,Texas,Envelopes,4,6,20,35,9,113,170
Furniture,Houston,United States,27-12-2018,2018,Dec,CA-2018-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,31-12-2018,Standard Class,Shipped Early,Texas,Bookcases,4,6,32,47,3,532,797
Furniture,Houston,United States,27-12-2018,2018,Dec,CA-2018-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,31-12-2018,Standard Class,Shipped Early,Texas,Chairs,4,6,30,15,3,212,318
Technology,Houston,United States,27-12-2018,2018,Dec,CA-2018-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,Home Office,31-12-2018,Standard Class,Shipped Early,Texas,Phones,4,6,20,42,4,371,556
Technology,Naperville,United States,10-09-2020,2020,Sep,CA-2020-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,Corporate,15-09-2020,Standard Class,Shipped Early,Illinois,Phones,5,6,20,17,4,147,220
Office Supplies,Los Angeles,United States,17-07-2019,2019,Jul,CA-2019-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,Corporate,22-07-2019,Standard Class,Shipped Early,California,Storage,5,6,0,4,2,78,117
Office Supplies,Melbourne,United States,19-09-2020,2020,Sep,CA-2020-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,23-09-2020,Standard Class,Shipped Early,Florida,Storage,4,6,20,10,2,96,143
Technology,Eagan,United States,11-03-2019,2019,Mar,CA-2019-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,13-03-2019,First Class,Shipped Late,Minnesota,Accessories,2,1,0,20,2,46,69
Office Supplies,Eagan,United States,11-03-2019,2019,Mar,CA-2019-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,13-03-2019,First Class,Shipped Late,Minnesota,Binders,2,1,0,8,2,17,26
Office Supplies,Westland,United States,20-10-2017,2017,Oct,CA-2017-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,25-10-2017,Second Class,Shipped Late,Michigan,Storage,5,3,0,8,4,212,317
Technology,Dover,United States,20-06-2019,2019,Jun,CA-2019-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,25-06-2019,Standard Class,Shipped Early,Delaware,Accessories,5,6,0,5,3,45,67
Technology,Dover,United States,20-06-2019,2019,Jun,CA-2019-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,25-06-2019,Standard Class,Shipped Early,Delaware,Phones,5,6,0,6,2,22,33
Office Supplies,New Albany,United States,18-04-2018,2018,Apr,CA-2018-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,22-04-2018,Standard Class,Shipped Early,Indiana,Binders,4,6,0,18,6,38,57
Office Supplies,New Albany,United States,18-04-2018,2018,Apr,CA-2018-115742,47150,OFF-LA-10002762,Avery 485,Central,Consumer,22-04-2018,Standard Class,Shipped Early,Indiana,Labels,4,6,0,35,6,75,113
Furniture,New Albany,United States,18-04-2018,2018,Apr,CA-2018-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,Consumer,22-04-2018,Standard Class,Shipped Early,Indiana,Furnishings,4,6,0,3,2,6,9
Furniture,New Albany,United States,18-04-2018,2018,Apr,CA-2018-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,Consumer,22-04-2018,Standard Class,Shipped Early,Indiana,Chairs,4,6,0,17,1,90,135
